ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Bd J Bouin (Pompier);E-3 S / H-5 S;P>25690;3;0,729;;;25/01/2012;09:51
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Av A Briand/Rue Q Barre;E-4 S / H-10 S;P>25691;3;0,986;;;11/01/2012;15:22
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Rue du Cdt G Bieler;E-1 S / H-2 S;P>25693;3;0,609;;;04/01/2012;09:38
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Rue du Cdt G Bieler;E-1 S / H-2 S;P>25693;3;0,86;;;18/01/2012;10:02
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Av du Gle de Gaulle;E-1 S / H-1 S;P>25694;4;0,843;;;04/01/2012;09:46
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Av du Gle de Gaulle;E-1 S / H-1 S;P>25694;4;0,73;;;11/01/2012;15:13
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Av du Gle de Gaulle;E-1 S / H-1 S;P>25694;4;0,612;;;18/01/2012;10:11
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Av du Gle de Gaulle;E-1 S / H-1 S;P>25694;4;0,643;;;25/01/2012;09:45
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Rue Ampère;E-3 S / H-6 S;P>25695;3;0,784;;;18/01/2012;09:21
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Bd J Bouin (camping);E-2 S / H-3 S;P>25696;3;0,81;;;18/01/2012;09:55
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Bd J Bouin (camping);E-2 S / H-3 S;P>25697;3;0,781;;;18/01/2012;09:53
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Rue H Dunant;E-2 S / H-4 S;P>25698;3;0,536;;;04/01/2012;09:54
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Rue G Brassens;E-2 S / H-3 S;P>25699;3;0,77;;;04/01/2012;09:30
